"","ID","task","profile","Affiliation.of.the.terrorist","Legal.status.of.the.terrorist","Terrorist.tactic","Motivation.for.the.terrorist.attack","Number.of.deaths","Probability.of.the.attack","selected","progress","finished","durationinseconds"
"13973",1398,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","10%",0,100,1,150
"13974",1398,3,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","10%",1,100,1,150
"13975",1398,3,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,150
"13976",1398,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,150
"13977",1398,5,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","1","1%",0,100,1,150
"13978",1398,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,150
"13979",1398,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,150
"13980",1398,5,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","0.1%",1,100,1,150
"13981",1399,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","0.1%",0,100,1,516
"13982",1399,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,516
"13983",1399,2,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,516
"13984",1399,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","100","1%",1,100,1,516
"13985",1399,1,2,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","1","0.1%",0,100,1,516
"13986",1399,2,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","1%",1,100,1,516
"13987",1399,4,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","1%",1,100,1,516
"13988",1399,3,1,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","1","1%",0,100,1,516
"13989",1399,1,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","1","1%",1,100,1,516
"13990",1399,5,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","0.1%",0,100,1,516
"13991",1400,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,175
"13992",1400,1,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","100","1%",1,100,1,175
"13993",1400,2,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","1%",0,100,1,175
"13994",1400,1,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,175
"13995",1400,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","10%",1,100,1,175
"13996",1400,5,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","0.1%",1,100,1,175
"13997",1400,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","0.1%",1,100,1,175
"13998",1400,4,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","10%",0,100,1,175
"13999",1400,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","0.1%",0,100,1,175
"14000",1400,4,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,175
"14001",1401,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,165
"14002",1401,5,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","1","1%",0,100,1,165
"14003",1401,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","0.1%",0,100,1,165
"14004",1401,4,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","10%",1,100,1,165
"14005",1401,4,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","1%",0,100,1,165
"14006",1401,2,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","0.1%",0,100,1,165
"14007",1401,5,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","0.1%",1,100,1,165
"14008",1401,3,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","0.1%",1,100,1,165
"14009",1401,3,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","1%",0,100,1,165
"14010",1401,2,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","1%",1,100,1,165
"14011",1402,4,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","10","10%",1,100,1,4100
"14012",1402,1,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","1%",1,100,1,4100
"14013",1402,2,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","1%",1,100,1,4100
"14014",1402,3,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,4100
"14015",1402,4,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","1","10%",0,100,1,4100
"14016",1402,1,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","0.1%",0,100,1,4100
"14017",1402,3,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","1%",1,100,1,4100
"14018",1402,2,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","1%",0,100,1,4100
"14019",1402,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","1","10%",0,100,1,4100
"14020",1402,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","10%",1,100,1,4100
"14021",1403,4,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","10","1%",1,100,1,72
"14022",1403,1,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","1","10%",0,100,1,72
"14023",1403,4,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","1%",0,100,1,72
"14024",1403,5,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,72
"14025",1403,2,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","10","0.1%",1,100,1,72
"14026",1403,1,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,72
"14027",1403,5,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","10%",1,100,1,72
"14028",1403,3,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","0.1%",1,100,1,72
"14029",1403,2,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,72
"14030",1403,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","1%",0,100,1,72
"14031",1404,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","10%",1,100,1,123
"14032",1404,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","10%",1,100,1,123
"14033",1404,2,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","10%",0,100,1,123
"14034",1404,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","0.1%",1,100,1,123
"14035",1404,3,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","10%",0,100,1,123
"14036",1404,5,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","100","10%",0,100,1,123
"14037",1404,5,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,123
"14038",1404,4,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","1%",0,100,1,123
"14039",1404,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,123
"14040",1404,4,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","1%",1,100,1,123
"14041",1405,1,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","10%",1,100,1,419
"14042",1405,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","100","1%",1,100,1,419
"14043",1405,2,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","10%",0,100,1,419
"14044",1405,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","0.1%",1,100,1,419
"14045",1405,5,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","10","10%",1,100,1,419
"14046",1405,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","10","0.1%",0,100,1,419
"14047",1405,1,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","0.1%",0,100,1,419
"14048",1405,2,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,419
"14049",1405,5,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,419
"14050",1405,4,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","1","10%",0,100,1,419
"14051",1406,4,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","1%",1,100,1,178
"14052",1406,3,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","10%",0,100,1,178
"14053",1406,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,178
"14054",1406,2,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,178
"14055",1406,5,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","10%",0,100,1,178
"14056",1406,1,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","10%",1,100,1,178
"14057",1406,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","10","10%",1,100,1,178
"14058",1406,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","1%",1,100,1,178
"14059",1406,2,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","0.1%",1,100,1,178
"14060",1406,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","10%",0,100,1,178
"14061",1407,4,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","1%",0,100,1,123
"14062",1407,3,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","10%",1,100,1,123
"14063",1407,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,123
"14064",1407,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","10%",1,100,1,123
"14065",1407,1,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","10%",0,100,1,123
"14066",1407,2,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,123
"14067",1407,1,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","10","10%",1,100,1,123
"14068",1407,5,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","1","1%",0,100,1,123
"14069",1407,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",1,100,1,123
"14070",1407,3,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","0.1%",0,100,1,123
"14071",1408,1,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","1","10%",0,100,1,154
"14072",1408,4,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","0.1%",0,100,1,154
"14073",1408,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,154
"14074",1408,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,154
"14075",1408,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","1%",1,100,1,154
"14076",1408,3,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","10","1%",1,100,1,154
"14077",1408,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","1%",0,100,1,154
"14078",1408,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","100","10%",1,100,1,154
"14079",1408,3,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,154
"14080",1408,2,1,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","1","10%",0,100,1,154
"14081",1409,4,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","0.1%",0,100,1,175
