treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Trash-talking,1,2,2,4,3,2.75,4,10,4,2,2,4,1,29,2,4,5,4,1,0,0
Trash-talking,1,5,4,4,5,4.5,5,8,4,2,3,2,0,32,1,4,4,2,1,0,0
Control,0,4,2,4,4,3.5,5,6,2,3,2,2,0,18,5,2,4,6,1,0,0
Trash-talking,1,2,5,3,1,2.75,4,10,4,4,2,3,0,29,1,3,2,3,1,0,0
Control,0,1,1,1,1,1,1,10,2,2,2,3,0,59,1,4,1,1,0,1,0
Trash-talking,1,1,1,1,1,1,1,8,5,3,1,1,1,56,3,4,1,3,0,0,1
Trash-talking,1,5,1,5,5,4,5,1,1,1,5,1,0,43,5,1,5,6,1,0,0
Control,0,1,1,2,1,1.25,2,5,2,2,2,3,0,37,2,2,1,5,0,1,0
Trash-talking,1,2,1,5,4,3,4,10,4,4,1,4,1,36,1,3,4,2,0,0,1
Control,0,3,3,2,4,3,4,10,3,4,3,3,0,46,2,4,3,3,0,0,0
Trash-talking,1,4,2,5,5,4,1,10,4,5,1,4,0,49,6,2,4,3,1,0,0
Control,0,1,2,2,1,1.5,3,5,4,3,2,4,1,19,2,3,1,2,0,1,0
Trash-talking,1,5,4,3,5,4.25,3,7,4,2,3,1,0,28,5,2,4,3,1,0,0
Trash-talking,1,5,2,4,5,4,5,10,3,1,2,2,0,29,6,1,3,6,1,0,0
Trash-talking,1,2,2,3,2,2.25,4,8,1,1,2,1,1,69,4,2,2,2,0,1,0
Trash-talking,1,1,1,3,1,1.5,2,7,2,4,3,2,0,24,2,2,1,4,0,0,1
Trash-talking,1,4,3,5,3,3.75,3,4,3,3,2,3,1,36,3,3,2,1,0,0,1
Trash-talking,1,1,1,3,1,1.5,1,1,5,5,1,5,1,38,5,3,1,5,0,0,1
Trash-talking,1,2,2,4,2,2.5,4,9,5,3,1,4,0,45,3,4,3,2,0,0,1
Control,0,4,3,1,1,2.25,1,10,5,3,1,4,0,50,4,3,1,3,0,0,0
