treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Trash-talking,1,2,1,5,3,2.75,5,10,4,4,4,3,1,21,4,3,5,3,1,0,0
Trash-talking,1,2,2,3,3,2.5,4,5,3,3,4,4,1,37,7,2,3,5,0,1,0
Trash-talking,1,3,3,3,3,3,4,5,3,3,2,3,1,24,5,4,3,4,0,1,0
Control,0,2,3,2,2,2.25,3,6,3,1,1,1,0,37,5,2,4,2,0,1,0
Trash-talking,1,2,2,2,3,2.25,3,7,1,1,3,2,1,59,1,3,4,3,0,1,0
Trash-talking,1,5,1,5,5,4,5,10,5,5,5,5,0,22,3,3,5,3,1,0,0
Control,0,2,2,2,2,2,4,4,1,2,4,2,1,24,2,4,4,6,1,0,0
Trash-talking,1,3,3,3,3,3,3,5,3,3,3,3,0,48,2,3,2,2,0,0,1
Trash-talking,1,1,1,1,1,1,1,6,4,3,1,4,1,72,2,4,1,4,0,0,1
Control,0,5,4,5,5,4.75,5,10,4,1,3,1,1,53,3,4,5,1,1,0,0
Control,0,3,2,4,4,3.25,3,8,3,1,3,2,0,55,5,2,4,5,1,0,0
Control,0,2,3,5,3,3.25,5,10,4,1,1,1,0,24,2,2,2,4,0,0,0
Control,0,2,2,2,2,2,4,8,1,2,3,4,1,27,2,3,4,4,1,0,0
Control,0,1,1,2,2,1.5,3,5,3,3,3,2,1,52,6,2,2,5,0,0,1
Trash-talking,1,3,4,4,4,3.75,4,10,4,2,3,3,0,44,4,1,4,4,0,1,0
Control,0,2,3,3,2,2.5,3,7,3,2,2,3,1,22,5,4,3,5,0,1,0
Control,0,4,3,4,4,3.75,4,10,3,2,1,3,0,40,6,2,3,3,1,0,0
Control,0,3,3,3,3,3,3,9,3,3,4,3,0,34,5,3,5,3,1,0,0
Control,0,4,2,2,4,3,4,10,4,3,3,3,0,19,4,3,5,2,1,0,0
Trash-talking,1,3,4,4,5,4,3,8,1,1,2,1,0,43,1,3,4,6,0,0,0
Control,0,2,2,3,2,2.25,4,7,4,1,4,1,0,23,4,2,4,2,0,1,0
Trash-talking,1,2,2,2,2,2,3,7,4,1,4,2,1,21,2,3,4,2,1,0,0
Trash-talking,1,5,3,5,5,4.5,5,10,5,3,1,5,0,33,1,3,1,6,0,0,0
Trash-talking,1,3,2,2,3,2.5,4,8,4,4,3,4,1,48,1,2,2,2,0,0,0
Control,0,2,4,2,4,3,4,10,4,4,2,4,0,24,1,4,5,2,1,0,0
Trash-talking,1,3,4,5,4,4,4,6,5,1,2,2,0,39,4,3,4,4,1,0,0
Trash-talking,1,1,1,1,1,1,2,6,3,1,1,2,0,36,6,3,1,5,0,1,0
Trash-talking,1,1,3,4,3,2.75,5,8,4,2,1,3,1,22,2,4,4,3,1,0,0
Trash-talking,1,3,3,2,1,2.25,4,2,1,1,5,1,1,18,2,3,5,2,1,0,0
Control,0,3,2,3,3,2.75,5,10,2,2,2,3,1,32,3,3,3,4,1,0,0
Control,0,3,4,4,4,3.75,4,8,3,3,5,3,0,48,4,3,5,3,1,0,0
Control,0,3,3,4,5,3.75,4,10,1,1,5,1,0,57,5,1,5,5,1,0,0
Control,0,3,1,5,2,2.75,4,10,3,4,2,4,1,27,5,2,4,5,1,0,0
Control,0,2,2,2,2,2,3,10,3,4,2,3,0,25,6,2,3,4,0,0,1
Trash-talking,1,2,2,2,2,2,2,7,5,1,1,4,1,48,2,4,1,2,0,1,0
Trash-talking,1,1,1,4,1,1.75,1,10,5,1,2,2,1,23,2,3,2,2,0,0,1
Control,0,4,3,4,5,4,4,7,3,1,3,1,1,31,2,2,5,4,1,0,0
Trash-talking,1,2,4,5,2,3.25,2,10,3,2,2,2,0,29,6,3,2,5,0,0,1
Control,0,4,2,3,3,3,3,8,3,3,3,2,1,24,2,3,3,4,1,0,0
Control,0,4,3,3,4,3.5,3,9,1,2,1,1,0,34,5,1,2,1,0,1,0
Control,0,1,1,3,1,1.5,4,8,1,1,4,1,1,25,2,1,3,1,0,1,0
Trash-talking,1,4,3,3,4,3.5,4,5,2,1,3,1,1,20,4,2,5,5,0,1,0
Control,0,1,4,4,2,2.75,2,8,2,1,3,1,1,23,1,2,4,4,1,0,0
Control,0,1,4,4,2,2.75,4,8,1,2,3,2,1,23,4,3,4,2,1,0,0
Trash-talking,1,3,2,3,3,2.75,3,7,4,4,2,3,0,19,3,3,4,6,1,0,0
Trash-talking,1,2,5,2,2,2.75,3,9,5,4,1,3,0,24,4,2,3,5,0,0,0
Control,0,3,4,2,4,3.25,3,5,1,1,2,1,1,30,7,1,5,6,1,0,0
Control,0,2,1,5,5,3.25,4,10,3,3,3,3,1,28,4,3,5,4,1,0,0
Control,0,1,3,2,2,2,2,7,1,1,2,2,1,35,3,3,4,1,1,0,0
Control,0,4,3,3,2,3,4,7,1,1,3,2,0,19,4,3,5,4,1,0,0
Trash-talking,1,1,1,2,4,2,5,1,2,1,4,1,1,61,4,3,1,2,0,1,0
Trash-talking,1,1,1,5,1,2,1,10,4,4,2,4,1,42,5,3,1,3,0,1,0
Control,0,3,2,3,2,2.5,3,8,1,1,3,1,0,24,3,2,4,2,0,1,0
Control,0,1,1,1,1,1,1,6,4,4,2,4,1,65,3,4,1,6,0,0,1
Trash-talking,1,3,3,3,4,3.25,3,9,3,3,3,3,0,40,4,1,3,4,0,1,0
Control,0,1,3,3,1,2,2,7,2,3,3,3,1,23,2,3,1,2,0,0,1
Trash-talking,1,5,5,5,5,5,3,1,5,1,1,5,1,32,6,1,3,3,0,1,0
Trash-talking,1,5,3,4,5,4.25,4,10,3,1,4,1,0,35,5,2,5,1,1,0,0
Trash-talking,1,5,5,5,5,5,4,8,3,2,4,2,1,24,4,3,5,2,1,0,0
Control,0,2,4,5,4,3.75,3,10,2,1,4,3,1,49,6,3,5,4,0,1,0
Control,0,4,4,4,3,3.75,2,10,4,1,2,3,0,44,5,2,5,1,1,0,0
Control,0,1,1,1,1,1,2,9,1,1,4,1,1,54,3,3,2,1,0,0,1
Trash-talking,1,5,3,4,5,4.25,4,8,3,3,4,2,0,33,7,3,5,4,1,0,0
Control,0,5,5,5,5,5,5,10,3,3,3,3,1,41,3,4,5,1,1,0,0
Trash-talking,1,4,2,3,4,3.25,4,6,3,3,3,3,0,28,5,2,4,2,0,0,0
Control,0,2,2,5,5,3.5,5,10,1,1,5,1,0,23,5,3,5,4,1,0,0
Control,0,2,2,2,2,2,4,8,4,3,1,2,0,38,2,2,4,1,1,0,0
Control,0,1,2,3,1,1.75,2,6,1,1,3,1,1,30,2,3,2,1,0,1,0
Trash-talking,1,4,2,4,4,3.5,3,10,2,2,2,2,1,39,2,2,4,3,0,0,1
Trash-talking,1,3,4,3,3,3.25,4,10,5,3,2,3,1,35,3,4,5,4,1,0,0
Control,0,4,4,3,4,3.75,4,10,4,3,2,3,0,36,6,2,3,3,1,0,0
Control,0,2,2,4,4,3,4,6,1,1,2,1,1,36,2,2,4,3,1,0,0
Control,0,4,4,4,4,4,3,9,2,2,4,4,0,67,6,1,3,6,1,0,0
Trash-talking,1,4,4,4,5,4.25,2,7,2,2,3,4,1,23,5,3,3,6,1,0,0
Control,0,2,2,4,2,2.5,5,10,2,1,4,1,1,44,6,3,4,5,1,0,0
Control,0,2,4,4,4,3.5,4,5,2,2,4,2,0,26,6,4,3,6,1,0,0
Control,0,3,4,2,4,3.25,3,8,1,2,4,3,1,20,1,4,5,4,1,0,0
Control,0,4,4,3,3,3.5,4,9,2,1,4,1,1,31,1,3,4,4,1,0,0
Trash-talking,1,5,4,5,5,4.75,4,10,5,3,2,4,0,29,4,3,5,1,1,0,0
Control,0,4,3,3,5,3.75,4,10,2,3,2,3,0,23,3,3,4,6,1,0,0
Trash-talking,1,3,3,3,3,3,3,10,3,1,4,1,0,35,6,1,5,6,1,0,0
Trash-talking,1,5,1,5,5,4,4,10,2,1,2,3,0,33,2,2,2,1,1,0,0
Trash-talking,1,5,4,3,5,4.25,3,10,3,1,4,1,1,43,4,3,5,2,1,0,0
Control,0,3,3,4,4,3.5,5,10,4,3,4,3,1,34,2,3,4,4,1,0,0
Control,0,1,1,1,1,1,2,10,3,2,2,2,1,32,5,3,1,4,0,1,0
Control,0,2,3,3,2,2.5,3,6,4,3,3,3,0,28,5,3,4,5,1,0,0
Trash-talking,1,1,2,4,2,2.25,2,4,3,1,1,2,1,77,3,2,1,2,0,0,1
Trash-talking,1,1,1,1,1,1,1,7,1,1,3,1,0,55,1,3,1,3,0,0,0
Trash-talking,1,3,5,5,5,4.5,4,10,5,5,1,4,0,24,6,4,5,5,1,0,0
Trash-talking,1,1,2,2,1,1.5,3,10,1,1,1,1,0,54,1,2,5,4,1,0,0
Control,0,2,2,2,2,2,3,10,2,2,2,3,0,29,3,2,2,4,0,0,1
Control,0,3,4,4,1,3,3,8,2,1,5,1,0,23,2,3,5,2,1,0,0
Control,0,2,2,2,2,2,4,5,1,1,4,1,0,20,2,2,5,3,1,0,0
Trash-talking,1,1,1,5,5,3,1,5,1,2,5,1,1,52,2,3,1,2,0,0,1
Trash-talking,1,1,2,4,1,2,2,8,3,3,1,3,1,44,4,2,1,4,0,0,1
Trash-talking,1,3,2,3,4,3,4,7,3,3,3,4,0,30,6,1,3,2,1,0,0
Trash-talking,1,1,1,2,2,1.5,1,3,3,2,1,3,1,46,1,2,2,3,0,0,1
Control,0,3,4,2,4,3.25,4,8,3,1,2,1,0,26,5,3,4,4,0,0,1
Control,0,1,3,2,2,2,3,5,1,1,4,1,1,30,3,2,1,4,0,1,0
Trash-talking,1,4,2,4,3,3.25,4,9,4,3,3,3,1,37,2,3,4,3,1,0,0
Trash-talking,1,3,3,3,4,3.25,5,8,2,4,1,4,1,24,3,1,5,6,1,0,0
Trash-talking,1,1,1,5,1,2,2,9,4,1,1,1,1,27,1,3,1,3,0,0,0
Control,0,5,5,3,5,4.5,4,8,2,2,3,2,1,37,6,3,4,5,1,0,0
Control,0,1,4,1,1,1.75,3,10,4,3,1,3,0,43,2,2,2,3,0,0,0
Control,0,3,2,5,5,3.75,5,10,4,5,1,4,1,64,6,4,5,5,1,0,0
Trash-talking,1,1,1,1,1,1,1,3,4,3,3,2,1,72,1,4,1,3,0,0,1
Control,0,4,2,3,4,3.25,5,10,1,1,1,2,0,20,5,3,4,2,0,0,1
Control,0,1,1,1,4,1.75,3,9,1,1,4,1,0,18,4,3,5,4,1,0,0
Trash-talking,1,1,3,3,1,2,3,8,3,2,1,3,1,55,2,3,3,2,0,0,0
Trash-talking,1,2,2,2,2,2,4,9,2,1,1,1,1,49,1,3,1,4,0,0,1
Trash-talking,1,2,1,2,2,1.75,2,6,2,1,3,1,1,69,4,4,1,6,1,0,0
Trash-talking,1,1,2,4,2,2.25,2,10,5,3,1,2,1,31,2,3,1,1,0,1,0
Trash-talking,1,2,4,2,2,2.5,4,6,2,2,2,2,0,30,5,2,4,6,1,0,0
Control,0,1,1,1,1,1,1,9,3,1,2,1,1,64,2,2,1,6,0,0,1
Control,0,3,4,3,3,3.25,2,6,1,1,4,1,0,18,4,3,4,5,1,0,0
Control,0,3,3,3,3,3,3,7,3,3,3,3,0,20,7,2,4,6,1,0,0
Trash-talking,1,5,3,4,5,4.25,5,10,4,1,2,3,1,27,2,2,5,4,1,0,0
Control,0,2,4,4,2,3,4,10,2,1,2,1,0,26,5,2,4,4,1,0,0
Trash-talking,1,2,4,3,3,3,3,8,4,3,1,2,0,22,2,3,4,4,1,0,0
Trash-talking,1,4,3,5,2,3.5,2,10,4,1,3,1,0,31,5,2,4,2,0,0,0
Control,0,2,4,2,2,2.5,5,10,1,1,3,1,0,24,5,4,4,5,1,0,0
Control,0,3,3,4,2,3,3,7,3,1,2,1,1,21,2,3,4,4,1,0,0
Trash-talking,1,1,1,2,1,1.25,2,9,3,3,1,3,1,66,2,4,2,4,0,0,1
Control,0,1,2,4,1,2,4,9,2,2,1,2,0,23,2,3,1,3,0,1,0
Control,0,2,3,5,2,3,3,10,3,1,1,1,0,28,5,2,2,6,0,1,0
Control,0,1,1,1,1,1,1,10,4,4,2,3,1,65,4,3,4,3,0,0,1
Control,0,1,1,1,1,1,3,1,1,1,1,1,1,42,1,4,1,3,0,0,1
Control,0,2,4,4,4,3.5,2,9,1,1,2,1,0,47,4,2,2,1,0,0,0
Trash-talking,1,1,3,2,1,1.75,5,9,3,3,1,3,0,24,3,2,2,6,0,1,0
Trash-talking,1,2,3,3,3,2.75,3,1,1,1,1,2,0,54,4,3,3,6,0,1,0
Trash-talking,1,1,3,5,3,3,3,8,4,1,1,1,1,29,1,3,1,1,0,0,1
Control,0,3,3,4,3,3.25,3,10,1,3,1,1,0,25,1,1,3,1,0,1,0
Control,0,2,2,5,4,3.25,5,10,1,1,3,1,1,46,1,4,5,1,1,0,0
Trash-talking,1,5,1,4,5,3.75,5,10,5,5,5,5,1,23,3,3,5,2,1,0,0
Trash-talking,1,1,2,2,1,1.5,2,6,1,1,1,1,1,75,3,3,1,3,0,1,0
Trash-talking,1,4,3,3,4,3.5,4,10,3,1,3,2,1,23,3,3,4,4,1,0,0
Control,0,2,4,4,4,3.5,4,8,1,1,4,2,1,46,5,2,4,4,0,1,0
Trash-talking,1,1,1,1,1,1,1,2,4,4,1,4,0,50,1,4,1,3,0,0,1
Trash-talking,1,2,4,4,4,3.5,4,10,2,2,1,2,0,33,5,4,4,2,1,0,0
Control,0,1,1,2,1,1.25,2,7,5,5,1,3,1,30,2,4,1,3,0,0,1
Trash-talking,1,2,3,4,3,3,4,10,3,1,4,2,0,46,2,3,4,2,0,0,0
Control,0,3,3,3,3,3,3,5,2,2,2,2,0,26,6,1,4,5,0,0,0
Control,0,3,3,3,3,3,3,5,3,3,3,3,0,20,2,3,3,3,1,0,0
Control,0,3,2,3,4,3,4,10,1,3,4,2,1,34,6,3,3,6,1,0,0
Trash-talking,1,3,3,3,3,3,3,10,3,4,1,3,0,32,6,2,3,6,1,0,0
Control,0,3,4,1,2,2.5,5,9,1,1,5,1,0,23,6,1,5,6,1,0,0
Control,0,2,1,5,2,2.5,5,10,2,1,2,1,1,71,5,2,1,3,0,0,1
Trash-talking,1,5,5,5,5,5,3,10,3,4,3,1,1,18,5,3,5,2,1,0,0
Trash-talking,1,2,2,4,2,2.5,2,10,3,2,2,4,1,41,3,3,2,1,0,0,1
Trash-talking,1,3,4,4,3,3.5,4,7,2,1,3,2,0,27,5,2,3,2,0,1,0
Trash-talking,1,2,4,5,4,3.75,5,10,5,2,4,3,0,50,6,3,4,4,1,0,0
Trash-talking,1,1,1,5,2,2.25,1,10,5,1,1,2,0,54,1,4,1,3,0,0,1
Control,0,1,2,1,1,1.25,5,10,1,1,5,1,1,40,2,4,4,4,1,0,0
Trash-talking,1,5,4,5,4,4.5,5,10,4,2,5,2,0,38,2,2,4,1,1,0,0
Trash-talking,1,2,4,4,3,3.25,4,10,1,2,1,1,1,28,5,2,4,5,0,1,0
Trash-talking,1,1,4,2,2,2.25,4,9,4,1,1,2,0,36,1,4,1,3,0,0,1
Trash-talking,1,3,3,4,4,3.5,4,9,4,3,2,1,1,35,3,3,4,4,1,0,0
Control,0,2,4,3,2,2.75,3,5,1,1,1,1,0,20,2,2,4,1,0,0,0
Trash-talking,1,1,1,1,1,1,1,3,1,1,2,1,1,73,1,3,1,4,0,0,1
Trash-talking,1,5,4,5,5,4.75,5,8,2,1,4,1,0,46,4,2,5,6,1,0,0
Trash-talking,1,3,3,2,2,2.5,4,10,2,1,3,2,0,18,5,2,4,4,0,1,0
Trash-talking,1,1,1,1,1,1,1,3,5,5,1,5,1,61,2,2,2,6,0,0,1
Trash-talking,1,1,5,4,2,3,1,10,1,2,1,4,0,35,6,1,1,3,0,0,1
Trash-talking,1,1,1,3,1,1.5,3,10,3,1,1,1,0,35,2,2,4,1,0,0,0
Control,0,3,2,3,4,3,4,6,2,3,4,2,1,31,2,3,3,4,1,0,0
Trash-talking,1,1,2,2,3,2,3,10,4,1,1,1,0,33,3,3,4,4,0,1,0
Control,0,5,4,3,5,4.25,3,10,2,4,1,1,1,62,6,4,3,5,0,1,0
Control,0,2,2,4,4,3,4,10,1,1,4,3,1,44,2,3,4,1,1,0,0
Trash-talking,1,3,4,2,3,3,3,9,5,3,1,3,0,21,2,1,4,2,0,0,0
Control,0,4,5,3,5,4.25,3,5,1,2,3,3,1,60,3,1,3,6,1,0,0
Trash-talking,1,3,3,3,3,3,3,10,3,4,3,3,0,39,3,4,3,1,0,1,0
Trash-talking,1,4,5,5,4,4.5,4,7,1,3,4,1,1,20,7,4,4,6,0,0,1
Control,0,5,4,5,5,4.75,3,10,1,3,4,2,1,31,2,3,5,4,1,0,0
Trash-talking,1,5,5,5,5,5,5,10,4,3,3,4,1,25,2,2,3,2,1,0,0
Control,0,3,2,4,4,3.25,4,9,4,1,3,1,0,38,6,1,4,6,0,1,0
Trash-talking,1,3,3,5,2,3.25,4,7,5,3,3,4,1,24,6,2,4,1,0,1,0
Trash-talking,1,3,4,4,4,3.75,4,8,4,2,3,2,0,24,6,3,3,1,0,1,0
Trash-talking,1,3,5,4,3,3.75,3,5,3,3,3,3,0,57,5,2,3,3,0,1,0
Trash-talking,1,1,1,4,2,2,3,5,1,1,4,1,1,47,2,3,1,3,0,0,1
Trash-talking,1,3,4,4,4,3.75,4,6,1,2,3,3,0,43,2,3,4,5,1,0,0
Trash-talking,1,1,2,3,2,2,4,5,4,3,3,2,0,37,5,2,4,4,0,0,1
Trash-talking,1,2,2,4,2,2.5,2,8,4,2,3,1,0,28,4,3,1,6,0,0,1
Trash-talking,1,4,4,4,3,3.75,2,9,3,1,2,1,0,23,4,4,2,2,1,0,0
Trash-talking,1,1,1,5,5,3,1,10,1,1,1,1,0,54,5,1,5,4,1,0,0
Trash-talking,1,4,3,3,3,3.25,2,6,4,1,2,1,0,20,5,2,4,4,1,0,0
Control,0,3,3,3,3,3,3,2,1,1,2,1,0,50,5,1,1,3,0,1,0
Trash-talking,1,2,4,2,2,2.5,4,8,4,4,4,4,1,36,6,4,4,5,0,0,1
Trash-talking,1,3,2,3,3,2.75,3,9,3,3,3,3,0,52,4,3,4,6,0,1,0
Trash-talking,1,3,4,4,4,3.75,3,10,5,5,4,5,1,35,5,3,4,3,0,0,0
Control,0,1,1,1,1,1,2,10,1,1,1,1,0,60,2,1,2,2,0,1,0
Control,0,5,1,2,1,2.25,2,10,2,2,2,2,0,52,3,2,1,4,0,0,1
Trash-talking,1,2,4,4,4,3.5,3,8,1,1,3,1,0,62,2,2,3,1,0,0,1
Control,0,1,1,4,2,2,3,10,3,1,3,2,1,43,6,2,1,3,0,0,1
Control,0,1,2,5,2,2.5,5,8,4,3,2,2,1,42,5,3,2,2,0,0,1
Trash-talking,1,4,4,4,4,4,4,8,3,3,3,3,1,35,3,1,4,3,0,1,0
Control,0,5,1,5,2,3.25,3,10,5,5,1,5,1,38,5,2,3,5,1,0,0
Control,0,3,3,3,3,3,3,6,3,3,3,3,0,24,6,1,2,4,0,1,0
Trash-talking,1,5,4,5,5,4.75,5,10,4,3,1,2,1,55,3,3,5,1,1,0,0
Trash-talking,1,1,2,3,1,1.75,2,9,5,5,1,3,1,35,1,4,2,2,0,0,0
Trash-talking,1,2,4,4,3,3.25,2,10,2,2,2,2,0,34,5,3,3,2,0,1,0
Control,0,1,1,1,1,1,3,5,1,1,2,1,0,59,4,3,1,3,0,1,0
Trash-talking,1,3,3,4,4,3.5,3,10,3,1,4,1,0,23,3,3,5,1,1,0,0
Trash-talking,1,1,3,4,2,2.5,3,5,3,3,2,2,0,50,4,2,3,2,0,0,1
Control,0,1,2,4,4,2.75,3,8,4,4,3,2,0,36,2,2,2,6,0,0,1
Trash-talking,1,1,1,1,1,1,4,5,4,4,2,4,1,71,1,4,1,3,0,0,1
Control,0,3,3,5,2,3.25,3,10,1,1,1,1,1,33,2,3,3,4,0,1,0
Trash-talking,1,5,4,4,4,4.25,3,10,4,1,4,1,1,37,3,2,4,4,1,0,0
Trash-talking,1,1,4,5,1,2.75,2,10,4,3,1,3,0,22,5,3,2,3,0,1,0
Control,0,2,3,4,3,3,2,10,3,2,2,2,1,45,4,4,1,6,0,1,0
Control,0,3,3,3,3,3,3,5,3,3,3,3,0,19,3,3,3,4,1,0,0
Control,0,1,1,1,1,1,2,4,3,4,2,4,0,57,2,4,1,5,0,0,1
Trash-talking,1,5,4,5,5,4.75,2,10,5,4,5,3,1,31,3,2,5,3,1,0,0
Trash-talking,1,5,2,5,5,4.25,5,10,4,1,2,1,0,26,5,2,3,5,0,1,0
Trash-talking,1,1,4,2,3,2.5,1,10,4,4,4,4,0,29,5,3,5,5,1,0,0
Control,0,1,1,2,1,1.25,3,7,1,1,4,2,0,48,4,4,2,2,0,0,0
Control,0,4,2,3,3,3,3,5,3,3,2,2,0,42,3,2,3,1,0,1,0
Trash-talking,1,1,2,2,2,1.75,2,10,4,2,1,3,0,28,2,3,4,5,1,0,0
Control,0,4,3,4,3,3.5,4,10,5,5,1,5,0,42,5,4,2,5,0,0,0
Control,0,3,3,4,3,3.25,3,10,4,1,1,1,0,23,5,2,2,3,0,1,0
Trash-talking,1,3,2,3,5,3.25,4,10,4,1,1,1,0,61,1,4,5,2,1,0,0
Trash-talking,1,2,2,3,2,2.25,3,8,3,2,3,2,1,27,4,4,2,4,1,0,0
Control,0,4,4,4,5,4.25,4,9,3,1,2,1,1,29,5,3,4,5,1,0,0
Trash-talking,1,4,3,4,4,3.75,3,7,3,3,4,2,1,31,5,2,5,5,1,0,0
Control,0,4,3,3,3,3.25,3,4,3,2,4,2,0,49,3,3,4,3,0,0,1
Control,0,1,1,1,1,1,1,1,1,1,5,1,1,63,3,4,1,3,0,0,1
Control,0,5,5,1,5,4,5,10,3,1,1,1,0,35,5,3,5,5,1,0,0
Trash-talking,1,3,3,3,4,3.25,4,7,3,3,3,3,1,23,3,3,4,6,1,0,0
Trash-talking,1,3,3,3,3,3,3,4,3,3,3,2,0,28,6,2,2,2,0,1,0
Trash-talking,1,3,5,4,2,3.5,3,5,4,3,2,1,0,66,5,2,4,2,0,1,0
Control,0,3,3,3,5,3.5,5,6,1,1,4,1,0,60,2,3,5,2,1,0,0
Control,0,2,1,1,1,1.25,2,6,1,1,1,1,1,37,2,1,1,4,0,0,1
Control,0,3,3,3,3,3,3,1,2,2,2,2,1,20,6,2,3,3,0,1,0
Control,0,4,3,4,4,3.75,3,7,3,2,2,2,0,35,5,3,5,3,1,0,0
Control,0,4,3,3,2,3,4,4,3,3,2,2,1,35,3,2,4,1,0,0,0
Control,0,3,3,2,2,2.5,3,8,4,2,1,3,1,55,3,2,1,5,0,1,0
Trash-talking,1,4,3,3,4,3.5,4,7,3,1,3,2,1,34,3,3,5,4,1,0,0
Trash-talking,1,1,1,2,1,1.25,3,2,3,1,1,3,1,51,3,4,1,2,0,0,1
Control,0,1,1,2,1,1.25,2,10,4,2,1,2,1,38,5,2,1,5,0,0,1
Control,0,1,1,1,1,1,3,7,5,2,2,4,1,74,1,3,1,4,0,0,1
Trash-talking,1,3,3,3,3,3,3,5,3,3,3,3,1,26,6,2,1,6,0,0,1
Control,0,1,2,2,3,2,3,7,1,1,4,1,1,19,6,2,4,4,1,0,0
Control,0,3,1,3,4,2.75,5,8,1,1,4,1,0,22,4,2,5,6,1,0,0
Trash-talking,1,4,3,2,5,3.5,4,9,5,1,1,1,1,28,4,3,4,4,1,0,0
Trash-talking,1,3,4,4,4,3.75,2,10,3,4,2,2,0,60,4,2,4,2,0,0,0
Trash-talking,1,4,2,5,5,4,4,9,4,4,3,5,1,24,2,4,4,2,1,0,0
Control,0,2,2,3,2,2.25,4,6,2,3,4,3,1,30,3,3,4,4,1,0,0
Control,0,4,4,4,4,4,2,8,1,1,3,1,1,39,4,2,4,6,0,0,1
Control,0,2,3,3,2,2.5,4,10,2,1,3,1,0,24,3,2,2,2,0,0,0
Trash-talking,1,3,4,5,4,4,4,9,2,1,3,1,1,59,4,3,4,2,1,0,0
Control,0,1,1,5,1,2,3,7,1,1,5,1,1,22,2,3,4,2,0,0,1
Trash-talking,1,4,4,3,3,3.5,3,1,4,3,2,2,0,65,4,2,4,2,1,0,0
Trash-talking,1,3,3,5,4,3.75,4,10,1,2,4,3,1,44,3,2,4,6,1,0,0
Trash-talking,1,3,4,2,3,3,3,6,4,3,3,2,0,27,6,1,4,2,1,0,0
Trash-talking,1,3,3,3,3,3,3,8,1,1,1,1,1,41,1,3,4,4,1,0,0
Control,0,1,2,3,1,1.75,2,5,3,3,3,3,1,38,5,2,1,5,0,0,1
Control,0,2,5,2,4,3.25,5,6,1,1,5,2,0,20,6,2,4,4,0,0,0
Control,0,3,3,4,4,3.5,1,10,4,3,4,3,1,40,5,3,5,6,1,0,0
Control,0,3,2,3,3,2.75,3,4,1,1,3,1,0,25,5,2,5,4,1,0,0
Control,0,2,2,2,2,2,3,7,2,2,4,3,1,47,1,2,4,3,0,0,0
Trash-talking,1,1,1,1,1,1,1,7,5,5,1,5,1,56,1,4,1,2,0,1,0
Trash-talking,1,3,4,2,3,3,5,10,4,1,4,1,0,59,2,3,5,3,1,0,0
Control,0,4,1,5,2,3,2,10,3,3,3,3,1,34,1,4,4,4,1,0,0
Control,0,2,2,3,4,2.75,3,6,3,2,4,3,1,24,3,2,4,6,0,1,0
Control,0,4,3,5,3,3.75,3,10,1,1,2,1,1,44,6,4,3,4,0,0,0
Trash-talking,1,3,3,3,3,3,3,5,3,2,1,2,0,23,3,3,5,5,1,0,0
Trash-talking,1,1,2,2,2,1.75,4,8,2,2,1,1,1,46,3,3,2,3,0,0,1
Control,0,3,1,5,4,3.25,3,10,3,1,2,1,0,31,3,1,3,3,0,1,0
Control,0,3,4,4,3,3.5,5,10,1,1,4,1,1,42,2,4,5,3,1,0,0
Control,0,3,3,5,3,3.5,3,10,4,1,1,1,0,21,2,3,1,2,0,1,0
Trash-talking,1,5,3,5,5,4.5,4,10,4,1,1,1,0,56,2,3,4,6,1,0,0
Trash-talking,1,5,4,5,5,4.75,3,5,2,3,3,3,1,23,3,1,3,4,0,0,0
Trash-talking,1,3,4,2,4,3.25,4,4,3,4,4,4,0,22,5,2,4,3,1,0,0
Control,0,3,3,2,2,2.5,3,7,3,1,1,1,1,44,5,2,4,3,0,0,1
Trash-talking,1,5,5,3,2,3.75,4,10,4,3,1,3,1,18,5,3,4,6,1,0,0
Control,0,2,3,2,2,2.25,4,10,3,2,2,3,0,24,2,3,4,4,1,0,0
Trash-talking,1,5,4,5,5,4.75,5,10,5,5,1,4,0,46,6,3,4,6,0,0,1
Trash-talking,1,3,4,4,3,3.5,4,7,2,3,3,3,1,23,2,2,3,1,0,1,0
Trash-talking,1,2,2,4,5,3.25,3,10,4,2,3,5,0,47,3,2,4,3,1,0,0
Trash-talking,1,3,5,5,4,4.25,4,10,4,3,2,3,0,22,4,2,3,1,0,1,0
Trash-talking,1,4,3,3,2,3,4,8,3,2,4,2,1,32,2,3,4,4,1,0,0
Trash-talking,1,1,4,2,4,2.75,4,9,2,3,3,4,0,40,1,2,4,1,1,0,0
Trash-talking,1,1,4,1,1,1.75,1,6,5,3,3,3,1,55,1,4,1,2,0,0,1
Trash-talking,1,3,2,5,4,3.5,4,9,4,3,2,3,1,39,6,3,2,4,0,0,1
Control,0,4,4,5,5,4.5,4,10,3,3,4,3,0,36,5,3,5,2,1,0,0
Trash-talking,1,3,4,3,2,3,2,10,1,1,2,1,0,61,4,1,3,3,0,1,0
Trash-talking,1,4,4,4,4,4,4,6,3,3,2,3,0,55,7,3,5,6,1,0,0
Trash-talking,1,5,1,5,5,4,5,10,2,4,3,2,1,31,5,1,4,5,0,1,0
